frameId,swimmerId,swimmerName,lane,cumul,eventId,eventX,eventY,event,TempsVideo (s),Temps (s),distance (m),tempo (s),frequence (cylce/min),amplitude (m),vitesse (m/s)
1016.00,6,Ligne 7,ligne7,45.11,48,45.1071,12,cycle,43.72,20.32,45.11,1.60,37.50,3.16,1.97
1021.00,6,Ligne 7,ligne7,45.33,49,45.3285,12,respi,43.82,20.42,45.33
1038.00,6,Ligne 7,ligne7,46.01,50,46.0080,12,cycle,44.16,20.76,46.01,0.88,68.18,1.80,2.05
1076.00,6,Ligne 7,ligne7,47.53,51,47.5284,12,cycle,44.92,21.52,47.53,1.52,39.47,3.04,2.00
1079.00,6,Ligne 7,ligne7,47.69,52,47.6919,12,respi,44.98,21.58,47.69
1097.00,6,Ligne 7,ligne7,48.63,53,48.6258,12,cycle,45.34,21.94,48.63,0.84,71.43,2.19,2.61
1147,6,Ligne 7,ligne7,50.00,54,50.0000,,turn,46.34,22.94,50.00
1223.00,6,Ligne 7,ligne7,55.00,55,45.0000,12,section,47.86,24.46,55.00
1270.00,6,Ligne 7,ligne7,56.49,56,43.5136,12,end,48.8,25.4,56.49
1293.00,6,Ligne 7,ligne7,57.45,57,42.5519,12,cycle,49.26,25.86,57.45
1301.00,6,Ligne 7,ligne7,57.75,58,42.2502,12,respi,49.42,26.02,57.75
1311.00,6,Ligne 7,ligne7,58.06,59,41.9432,12,cycle,49.62,26.22,58.06,0.72,83.33,1.22,1.69
1351.00,6,Ligne 7,ligne7,59.69,60,40.3146,12,cycle,50.42,27.02,59.69,1.60,37.50,3.26,2.04
1356.00,6,Ligne 7,ligne7,59.95,61,40.0462,12,respi,50.519999999999996,27.12,59.95
1370.00,6,Ligne 7,ligne7,60.56,62,39.4393,12,cycle,50.8,27.4,60.56,0.76,78.95,1.75,2.30
1406.00,6,Ligne 7,ligne7,61.89,63,38.1135,12,cycle,51.519999999999996,28.12,61.89,1.44,41.67,2.65,1.84
1415.00,6,Ligne 7,ligne7,62.27,64,37.7269,12,respi,51.7,28.3,62.27
1429.00,6,Ligne 7,ligne7,62.93,65,37.0732,12,cycle,51.98,28.58,62.93,0.92,65.22,2.08,2.26
1467.00,6,Ligne 7,ligne7,64.40,66,35.5973,12,cycle,52.739999999999995,29.34,64.40,1.52,39.47,2.95,1.94
1472.00,6,Ligne 7,ligne7,64.58,67,35.4183,12,respi,52.84,29.44,64.58
1480.00,6,Ligne 7,ligne7,65.00,68,35.0000,12,section,53,29.6,65.00
1488.00,6,Ligne 7,ligne7,65.13,69,34.8652,12,cycle,53.16,29.76,65.13,0.84,71.43,1.46,1.74
1525.00,6,Ligne 7,ligne7,66.80,70,33.2020,12,cycle,53.9,30.5,66.80,1.48,40.54,3.33,2.25
1530.00,6,Ligne 7,ligne7,67.01,71,32.9875,12,respi,54,30.6,67.01
1546.00,6,Ligne 7,ligne7,67.71,72,32.2867,12,cycle,54.32,30.92,67.71,0.84,71.43,1.83,2.18
1586.00,6,Ligne 7,ligne7,69.20,73,30.7967,12,cycle,55.12,31.72,69.20,1.60,37.50,2.98,1.86
1593.00,6,Ligne 7,ligne7,69.53,74,30.4684,12,respi,55.26,31.86,69.53
1607.00,6,Ligne 7,ligne7,70.18,75,29.8169,12,cycle,55.54,32.14,70.18,0.84,71.43,1.96,2.33
1645.00,6,Ligne 7,ligne7,71.59,76,28.4068,12,cycle,56.3,32.9,71.59,1.52,39.47,2.82,1.86
